city,electoral_district,no,candidate,candidate_party,gender,age,homeplace,education_level,incumbent,elected
嘉義市,第01選區,1,陳泰山,無黨籍及未經政黨推薦,male,70,臺灣省,碩士,False,False
高雄市,第06選區,1,李鎔任,國會政黨聯盟,male,67,臺南市,專科,False,False
臺南市,第01選區,1,康淑敏,中華聯合黨,female,60,高雄市,專科,False,False
臺中市,第03選區,1,朱立凡,宗教聯盟,male,39,臺灣省,大學,False,False
臺北市,第05選區,1,楊烱煌,聾國黨,male,73,臺中市,碩士,False,False
花蓮縣,第01選區,1,蕭嘉豪,民生公益,male,31,新北市,高中(職),False,False
臺北市,第08選區,1,蕭曉玲,喜樂島聯盟,female,55,臺灣省,大學,False,False
苗栗縣,第01選區,1,鍾林芷綸,台澎黨,female,53,新北市,高中(職),False,False
澎湖縣,第01選區,1,呂應宏,喜樂島聯盟,male,68,臺灣省,大學,False,False
高雄市,第01選區,1,晏揚清,台灣工黨,male,60,臺中市,博士,False,False
臺中市,第04選區,1,李家葳,中華統一促進黨,female,41,臺中市,高中(職),False,False
新北市,第01選區,1,歐崇敬,無黨籍及未經政黨推薦,male,52,高雄市,博士,False,False
金門縣,第01選區,1,洪志恒,金門高粱黨,male,51,金馬地區,大學,False,False
新北市,第07選區,1,朱盛興,安定力量,male,48,新北市,碩士,False,False
高雄市,第03選區,1,柳淑芳,台灣獨立黨,female,59,高雄市,高中(職),False,False
臺北市,第04選區,1,郭正典,一邊一國行動黨,male,66,臺灣省,博士,False,False
臺北市,第06選區,1,沈宜璇,台灣維新,female,44,臺北市,大學,False,False
桃園市,第03選區,1,胡文中,中華文化復興在理黨,female,54,臺北市,博士,False,False
嘉義縣,第01選區,1,黃俊雄,喜樂島聯盟,male,53,臺灣省,專科,False,False
臺南市,第02選區,1,王章記,宗教聯盟,male,49,臺南市,大學,False,False
新北市,第04選區,1,朱約翰,無黨籍及未經政黨推薦,male,62,臺北市,其他,False,False
臺北市,第07選區,1,王映心,台灣基進,female,28,臺北市,高中(職),False,False
連江縣,第01選區,1,曹爾忠,無黨籍及未經政黨推薦,male,65,金馬地區,大學,False,False
新北市,第03選區,1,羅和讚,無黨籍及未經政黨推薦,male,58,臺南市,碩士,False,False
彰化縣,第04選區,1,林怡彣,勞工黨,female,43,臺灣省,高中(職),False,False
臺南市,第03選區,1,陳西安,無黨籍及未經政黨推薦,male,61,臺南市,大學,False,False
新北市,第11選區,1,廖再興,無黨籍及未經政黨推薦,male,69,新北市,高中(職)以下,False,False
臺北市,第01選區,1,王郁揚,無黨籍及未經政黨推薦,male,33,其他國家,大學,False,False
臺南市,第04選區,1,蔡明峰,無黨籍及未經政黨推薦,male,60,臺南市,專科,False,False
臺中市,第06選區,1,楊木蘭,無黨籍及未經政黨推薦,female,59,臺中市,高中(職),False,False
臺南市,第06選區,1,李晉豪,安定力量,male,45,臺南市,大學,False,False
新北市,第09選區,1,陳愷寧,台灣維新,female,24,臺北市,高中(職),False,False
臺中市,第05選區,1,段體佩,無黨籍及未經政黨推薦,male,55,臺中市,專科,False,False
桃園市,第04選區,1,林國政,國會政黨聯盟,male,53,臺中市,碩士,False,False
臺北市,第03選區,1,何景榮,台灣民眾黨,male,42,其他國家,博士,False,False
雲林縣,第02選區,1,彭新銘,無黨籍及未經政黨推薦,male,28,臺灣省,大學,False,False
臺南市,第05選區,1,李伯利,安定力量,male,39,臺南市,高中(職),False,False
屏東縣,第02選區,1,鄭朝明,無黨籍及未經政黨推薦,male,67,臺灣省,碩士,False,False
嘉義縣,第02選區,1,許能通,無黨籍及未經政黨推薦,male,66,臺灣省,碩士,False,False
新北市,第12選區,1,賴嘉倫,時代力量,male,39,臺灣省,碩士,False,False
