city,electoral_district,candidate,candidate_party,ticket,ticket_percentage,elected
臺中市,第05選區,謝文卿,台灣民眾黨,18768,7.3,False
臺中市,第06選區,楊木蘭,無黨籍及未經政黨推薦,4278,2.11,False
臺中市,第06選區,黃國書,民主進步黨,113128,55.91,True
臺中市,第06選區,吳光中,親民黨,3882,1.92,False
臺中市,第06選區,洪偉富,宗教聯盟,558,0.28,False
臺中市,第06選區,李中,中國國民黨,80478,39.78,False
臺中市,第07選區,何欣純,民主進步黨,149538,63.3,True
臺中市,第07選區,蔣祖棋,司法正義黨,3336,1.41,False
臺中市,第07選區,林培基,一邊一國行動黨,1480,0.63,False
臺中市,第07選區,莊子富,中國國民黨,80000,33.86,False
臺中市,第07選區,傅若怡,合一行動聯盟,1883,0.8,False
臺中市,第08選區,翁美春,民主進步黨,62471,38.92,False
臺中市,第08選區,江啟臣,中國國民黨,94750,59.03,True
臺中市,第08選區,朱智德,台灣維新,2614,1.63,False
臺中市,第08選區,劉星龍,無黨籍及未經政黨推薦,664,0.41,False
臺南市,第01選區,康淑敏,中華聯合黨,306,0.17,False
臺南市,第01選區,顏耀星,台灣民眾黨,8793,4.92,False
臺南市,第01選區,賴惠員,民主進步黨,99344,55.64,True
臺南市,第01選區,蔡承攸,合一行動聯盟,616,0.35,False
臺南市,第01選區,蘇志仁,宗教聯盟,389,0.22,False
臺南市,第01選區,黃天辰,台灣民意黨,534,0.3,False
臺南市,第01選區,蔡育輝,中國國民黨,68568,38.4,False
臺南市,第02選區,王章記,宗教聯盟,1390,0.74,False
臺南市,第02選區,李武龍,中國國民黨,66270,35.3,False
臺南市,第02選區,郭國文,民主進步黨,120097,63.96,True
臺南市,第03選區,陳西安,無黨籍及未經政黨推薦,2892,1.47,False
臺南市,第03選區,童小芸,中國國民黨,52886,26.97,False
臺南市,第03選區,陳亭妃,民主進步黨,136815,69.77,True
臺南市,第03選區,鄧秀寶,親民黨,3493,1.78,False
臺南市,第04選區,蔡明峰,無黨籍及未經政黨推薦,4180,2.19,False
臺南市,第04選區,温米樂,圓黨,488,0.26,False
臺南市,第04選區,林志文,一邊一國行動黨,1860,0.97,False
臺南市,第04選區,林燕祝,中國國民黨,71052,37.15,False
臺南市,第04選區,林淑娟,宗教聯盟,636,0.33,False
臺南市,第04選區,林宜瑾,民主進步黨,113046,59.11,True
臺南市,第05選區,李伯利,安定力量,6350,3.18,False
臺南市,第05選區,林義豐,無黨籍及未經政黨推薦,10110,5.07,False
臺南市,第05選區,林俊憲,民主進步黨,110547,55.41,True
臺南市,第05選區,蔡淑惠,中國國民黨,67364,33.76,False
臺南市,第05選區,陳致曉,無黨籍及未經政黨推薦,4175,2.09,False
臺南市,第05選區,吳炳輝,無黨籍及未經政黨推薦,973,0.49,False
臺南市,第06選區,李晉豪,安定力量,4612,2.34,False
臺南市,第06選區,洪秀柱,中國國民黨,72137,36.54,False
臺南市,第06選區,唐宇姮,台澎黨,1228,0.62,False
臺南市,第06選區,王定宇,民主進步黨,116174,58.85,True
臺南市,第06選區,翁語含,台灣維新,3255,1.65,False
高雄市,第01選區,晏揚清,台灣工黨,704,0.43,False
高雄市,第01選區,王齡嬌,中國國民黨,55373,33.82,False
高雄市,第01選區,邱議瑩,民主進步黨,91561,55.92,True
高雄市,第01選區,黃綉晶,親民黨,5443,3.32,False
高雄市,第01選區,羅鼎城,台灣民眾黨,10661,6.51,False
高雄市,第02選區,黃韻涵,中國國民黨,70867,35.4,False
高雄市,第02選區,邱志偉,民主進步黨,126469,63.17,True
高雄市,第02選區,李柏融,台灣維新,2871,1.43,False
高雄市,第03選區,柳淑芳,台灣獨立黨,939,0.4,False
高雄市,第03選區,湯金全,無黨籍及未經政黨推薦,1288,0.55,False
高雄市,第03選區,李郭秋蘭,宗教聯盟,319,0.14,False
高雄市,第03選區,莊于萱,喜樂島聯盟,1237,0.53,False
高雄市,第03選區,鄭品娟,國會政黨聯盟,412,0.18,False
高雄市,第03選區,黃昭順,中國國民黨,87665,37.49,False
高雄市,第03選區,郭新政,無黨籍及未經政黨推薦,24277,10.38,False
高雄市,第03選區,劉世芳,民主進步黨,102300,43.75,True
高雄市,第03選區,蘇博廷,親民黨,3138,1.34,False
高雄市,第03選區,莊貽量,台灣民眾黨,12099,5.17,False
高雄市,第03選區,王貴雄,興中同盟會,155,0.07,False
高雄市,第04選區,林岱樺,民主進步黨,118219,60.03,True
高雄市,第04選區,黃兆呈,台灣維新,10323,5.24,False
高雄市,第04選區,周凱崙,無黨籍及未經政黨推薦,11102,5.64,False
高雄市,第04選區,孫蓬逸,台澎黨,500,0.25,False
高雄市,第04選區,徐慶煌,中國國民黨,56774,28.83,False
高雄市,第05選區,李佳玲,台灣民眾黨,20336,8.62,False
高雄市,第05選區,黃柏霖,中國國民黨,92220,39.11,False
高雄市,第05選區,李昆澤,民主進步黨,123239,52.27,True
高雄市,第06選區,李鎔任,國會政黨聯盟,258,0.11,False
高雄市,第06選區,林鴻正,喜樂島聯盟,763,0.32,False
高雄市,第06選區,劉仙娥,勞動黨,690,0.29,False
高雄市,第06選區,周金榜,無黨籍及未經政黨推薦,447,0.18,False
高雄市,第06選區,吳佩蓉,無黨籍及未經政黨推薦,4112,1.7,False
高雄市,第06選區,吳益政,親民黨,11964,4.95,False
高雄市,第06選區,劉哲嘉,台澎黨,183,0.08,False
高雄市,第06選區,李建輝,台灣維新,3082,1.27,False
高雄市,第06選區,趙天麟,民主進步黨,128072,52.94,True
高雄市,第06選區,陳美雅,中國國民黨,92337,38.17,False
高雄市,第07選區,李雅靜,中國國民黨,86127,38.27,False
高雄市,第07選區,吳青木,台澎黨,296,0.13,False
高雄市,第07選區,許智傑,民主進步黨,114998,51.1,True
高雄市,第07選區,葉鳳強,無黨籍及未經政黨推薦,822,0.37,False
高雄市,第07選區,陳惠敏,時代力量,17466,7.76,False
高雄市,第07選區,林杰正,無黨籍及未經政黨推薦,1405,0.62,False
高雄市,第07選區,秦詩雁,親民黨,3920,1.74,False
高雄市,第08選區,敖博勝,台灣民眾黨,14043,6.0,False
高雄市,第08選區,陳麗娜,中國國民黨,83148,35.54,False
高雄市,第08選區,賴瑞隆,民主進步黨,135052,57.73,True
高雄市,第08選區,蔡媽福,宗教聯盟,1710,0.73,False
