candidate_party,ticket,ticket_percentage
民主進步黨,5370953,44.05
親民黨,794838,6.52
自由台灣黨,47988,0.39
和平鴿聯盟黨,30617,0.25
軍公教聯盟黨,87213,0.71
民國黨,197627,1.62
信心希望聯盟,206629,1.69
中華統一促進黨,56347,0.46
中國國民黨,3280949,26.91
台灣團結聯盟,305675,2.5
時代力量,744315,6.1
大愛憲改聯盟,15442,0.12
綠黨社會民主黨聯盟,308106,2.52
台灣獨立黨,27496,0.22
無黨團結聯盟,77672,0.63
新黨,510074,4.18
健保免費連線,51024,0.41
樹黨,77174,0.63
