city,electoral_district,no,candidate,candidate_party,gender,age,homeplace,education_level,incumbent,elected
新竹市,第01選區,5,魏揚,軍公教聯盟黨,male,39,臺灣省,專科,False,False
新竹市,第01選區,6,吳淑敏,無黨籍及未經政黨推薦,female,50,臺灣省,碩士,False,False
新竹市,第01選區,7,黃源甫,無黨籍及未經政黨推薦,male,61,臺灣省,博士,False,False
新竹市,第01選區,8,王榮德,無黨籍及未經政黨推薦,male,62,臺灣省,專科,False,False
新竹市,第01選區,9,鄭正鈐,中國國民黨,male,46,臺灣省,博士,False,False
新竹市,第01選區,10,邱顯智,時代力量,male,39,臺灣省,碩士,False,False
嘉義市,第01選區,1,吳育仁,中國國民黨,male,46,臺灣省,博士,True,False
嘉義市,第01選區,2,翁壽良,無黨籍及未經政黨推薦,male,46,臺灣省,大學,False,False
嘉義市,第01選區,3,李俊俋,民主進步黨,male,50,臺灣省,碩士,True,True
嘉義市,第01選區,4,黃宏成台灣阿成世界偉人財神總統,無黨籍及未經政黨推薦,male,47,桃園市,大學,False,False
金門縣,第01選區,1,洪志恒,無黨籍及未經政黨推薦,male,47,金馬地區,大學,False,False
金門縣,第01選區,2,陳滄江,民主進步黨,male,60,金馬地區,博士,False,False
金門縣,第01選區,3,高丹樺,軍公教聯盟黨,female,54,金馬地區,碩士,False,False
金門縣,第01選區,4,張中法,無黨籍及未經政黨推薦,male,54,金馬地區,高中,False,False
金門縣,第01選區,5,楊鎮浯,中國國民黨,male,43,金馬地區,碩士,False,True
金門縣,第01選區,6,陳仲立,無黨籍及未經政黨推薦,male,57,金馬地區,高中,False,False
金門縣,第01選區,7,陳德輝,台灣工黨,male,35,金馬地區,大學,False,False
金門縣,第01選區,8,吳成典,新黨,male,58,金馬地區,博士,False,False
連江縣,第01選區,1,陳雪生,中國國民黨,male,64,金馬地區,高中,True,True
連江縣,第01選區,2,林金官,無黨籍及未經政黨推薦,male,70,金馬地區,大學,False,False
連江縣,第01選區,3,蘇柏豪,樹黨,male,29,臺灣省,大學,False,False
連江縣,第01選區,4,張春寶,中華統一促進黨,male,59,金馬地區,高中,False,False
