no,candidate,candidate_party,gender,age,homeplace,education_level,incumbent,elected
1,朱立倫,中國國民黨,male,54,桃園市,博士,False,False
2,蔡英文,民主進步黨,female,59,臺北市,博士,False,True
3,宋楚瑜,親民黨,male,73,其他,博士,False,False
