no,candidate_party,candidate_party_code
1,合一行動聯盟,342
2,中華統一促進黨,113
3,親民黨,90
4,安定力量,346
5,台灣基進,303
6,時代力量,267
7,新黨,74
8,喜樂島聯盟,348
9,中國國民黨,1
10,一邊一國行動黨,352
11,勞動黨,15
12,綠黨,79
13,宗教聯盟,319
14,民主進步黨,16
15,台灣民眾黨,350
16,台灣維新,356
17,台澎黨,355
18,國會政黨聯盟,341
19,台灣團結聯盟,95
